time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/entropy_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/clip_range,train/loss,train/value_loss
1,-20.228999999999996,2848,2048,0,18.12,,,,,,,,,,
2,-19.169,1704,4096,2,16.26,-0.009952274960960494,10,0.11689453125,-1.3761401019990445,0.036448538303375244,0.0003,0.013224274,0.2,4.300825119018555,20.677505080401897
3,-18.378999999999998,1492,6144,4,15.17,-0.014724240887153428,20,0.142529296875,-1.361002466082573,0.5144568681716919,0.0003,0.011218434,0.2,1.914209246635437,7.850068130344153
4,-16.742,1409,8192,5,13.59,-0.03259502156288363,30,0.26484375,-1.318275422975421,0.8668100237846375,0.0003,0.014627335,0.2,0.8520675897598267,2.713574498146772
5,-15.611999999999998,1377,10240,7,12.57,-0.04334417412756011,40,0.325634765625,-1.2654378604143859,0.9161749482154846,0.0003,0.02207345,0.2,1.0386247634887695,1.9269563622772694
6,-14.507,1353,12288,9,11.22,-0.0621534826233983,50,0.444287109375,-1.1412197176367045,0.9565382599830627,0.0003,0.029103562,0.2,0.2546200156211853,0.9636809186078608
7,-13.54,1335,14336,10,10.4,-0.06003059837894398,60,0.425048828125,-0.9872086754068732,0.9647600650787354,0.0003,0.037321046,0.2,0.20666241645812988,0.6571423198096454
8,-12.863999999999999,1319,16384,12,9.88,-0.054638650217384566,70,0.34384765625,-0.8087952869012952,0.979307234287262,0.0003,0.042246528,0.2,0.09399361908435822,0.3514687723480165
9,-12.676999999999998,1306,18432,14,9.68,-0.03398494618013501,80,0.2193359375,-0.6835146382451057,0.9865607619285583,0.0003,0.026891127,0.2,0.028730683028697968,0.21307117550168186
10,-12.454,1302,20480,15,9.51,-0.03008702271326911,90,0.18017578125,-0.555485075339675,0.9892499446868896,0.0003,0.019919593,0.2,0.024775991216301918,0.16235338191036136
11,-12.310000000000004,1292,22528,17,9.39,-0.02907261485233903,100,0.166162109375,-0.47758379885926844,0.9934044480323792,0.0003,0.028696228,0.2,0.01858558878302574,0.10203487838152796
12,-12.107000000000003,1279,24576,19,9.2,-0.024438889301382005,110,0.1150390625,-0.3756867547519505,0.9955596327781677,0.0003,0.024524959,0.2,-0.0009177681058645248,0.06836217034724541
13,-12.058000000000003,1257,26624,21,9.19,-0.01780366182247235,120,0.064013671875,-0.292793718772009,0.9976067543029785,0.0003,0.009334423,0.2,-8.427910506725311e-05,0.03595941284438595
14,-12.008000000000004,1247,28672,22,9.1,-0.008605195613927207,130,0.0412109375,-0.25191513416357336,0.9981023669242859,0.0003,0.003918999,0.2,0.0024089738726615906,0.027899623312987388
15,-12.013000000000007,1240,30720,24,9.13,-0.012829040514770896,140,0.092041015625,-0.21784758302383125,0.9989507794380188,0.0003,0.0074438937,0.2,0.0073396191000938416,0.017045759584289045
16,-11.977000000000007,1233,32768,26,9.11,-0.013061803524033166,150,0.08623046875,-0.1784809682983905,0.9988450407981873,0.0003,0.0069808285,0.2,-0.002112677786499262,0.018712427318678237
17,-11.929000000000006,1226,34816,28,9.03,-0.010835348071123008,160,0.084326171875,-0.13402105229906738,0.9991310238838196,0.0003,0.0063336208,0.2,-0.02130569890141487,0.014119098917581141
18,-11.947000000000008,1223,36864,30,9.04,-0.04118689776805695,170,0.06904296875,-0.1884027310879901,0.7375006675720215,0.0003,0.05271645,0.2,-0.005155835300683975,0.884083733917214
19,-12.044000000000006,1218,38912,31,9.28,0.02828704771818593,180,0.167822265625,-0.2120460466016084,0.9971937537193298,0.0003,0.042214766,0.2,-0.021856682375073433,0.0147025058959116
20,-11.931000000000008,1213,40960,33,9.04,-0.02721294876828324,190,0.1396484375,-0.11021443469217047,0.9958192706108093,0.0003,0.09936858,0.2,0.0027814507484436035,0.061497111344942824
21,-16.786000000000005,1209,43008,35,18.76,0.36720837552275043,200,0.15107421875,-0.1751909420825541,0.9993080496788025,0.0003,0.4263624,0.2,-0.0898592472076416,0.004692455434042131
22,-13.830000000000007,1197,45056,37,12.84,-0.003905282671621535,210,0.1048828125,-0.4764954081736505,0.29899001121520996,0.0003,0.011910976,0.2,1.16323983669281,4.335194055549801
23,-13.140000000000008,1189,47104,39,11.45,-0.011195452221727464,220,0.20390625,-0.4617494368925691,0.5912078022956848,0.0003,0.011662679,0.2,1.1274210214614868,3.3226903593167663
24,-12.574000000000005,1185,49152,41,10.34,-0.036868618152220735,230,0.3140625,-0.3115217033307999,0.9450149536132812,0.0003,0.02103234,0.2,0.4402867555618286,0.8763613511808217
25,-12.210000000000006,1183,51200,43,9.62,-0.0343680813384708,240,0.2228515625,-0.19066754153463988,0.9811548590660095,0.0003,0.031987093,0.2,0.10340727120637894,0.271346885105595
